Time,Temperature (C),Moisture (%)
12/4/2026 19:47,26.81,44
12/4/2026 19:47,26.75,45
12/4/2026 19:47,26.69,47
12/4/2026 19:47,26.62,45
12/4/2026 19:47,26.56,44
12/4/2026 19:48,26.5,47
12/4/2026 19:48,26.5,46
12/4/2026 19:48,26.5,44
12/4/2026 19:48,26.44,47
12/4/2026 19:48,26.44,46
12/4/2026 19:48,26.44,45
12/4/2026 19:48,26.37,47
12/4/2026 19:48,26.37,45
12/4/2026 19:48,26.37,46
12/4/2026 19:48,26.31,46
12/4/2026 19:48,26.31,44
12/4/2026 19:48,26.31,47
12/4/2026 19:48,26.31,45
12/4/2026 19:48,26.31,45
12/4/2026 19:48,26.31,46
12/4/2026 19:48,26.31,44
12/4/2026 19:48,26.25,46
12/4/2026 19:48,26.25,46
12/4/2026 19:48,26.25,44
12/4/2026 19:48,26.25,45
12/4/2026 19:48,26.19,47
12/4/2026 19:48,26.19,46
12/4/2026 19:48,26.19,44
12/4/2026 19:48,26.19,45
12/4/2026 19:48,26.19,46
12/4/2026 19:48,26.19,46
12/4/2026 19:48,26.19,46
12/4/2026 19:48,26.19,44
12/4/2026 19:48,26.19,45
12/4/2026 19:48,26.19,47
12/4/2026 19:49,26.19,46
12/4/2026 19:49,26.19,45
12/4/2026 19:49,26.19,45
12/4/2026 19:49,26.19,47
12/4/2026 19:49,26.19,46
12/4/2026 19:49,26.19,44
12/4/2026 19:49,26.19,45
12/4/2026 19:49,26.19,47
12/4/2026 19:49,26.25,46
12/4/2026 19:49,26.19,44
12/4/2026 19:49,26.19,45
12/4/2026 19:49,26.25,47
12/4/2026 19:49,26.25,46
12/4/2026 19:49,26.25,45
12/4/2026 19:49,26.25,45
12/4/2026 19:49,26.25,47
12/4/2026 19:49,26.25,46
12/4/2026 19:49,26.31,45
12/4/2026 19:49,26.31,44
12/4/2026 19:49,26.31,45
12/4/2026 19:49,26.31,47
12/4/2026 19:49,26.37,46
12/4/2026 19:49,26.37,45
12/4/2026 19:49,26.37,44
12/4/2026 19:49,26.37,45
12/4/2026 19:49,26.37,47
12/4/2026 19:49,26.37,46
12/4/2026 19:49,26.37,43
12/4/2026 19:49,26.44,45
12/4/2026 19:49,26.44,47
12/4/2026 19:50,26.44,46
12/4/2026 19:50,26.44,44
12/4/2026 19:50,26.44,44
12/4/2026 19:50,26.44,47
12/4/2026 19:50,26.44,46
12/4/2026 19:50,26.44,44
12/4/2026 19:50,26.5,45
12/4/2026 19:50,26.5,46
12/4/2026 19:50,26.5,45
12/4/2026 19:50,26.5,44
12/4/2026 19:50,26.5,47
12/4/2026 19:50,26.5,46
12/4/2026 19:50,26.5,44
12/4/2026 19:50,26.5,45
12/4/2026 19:50,26.5,47
12/4/2026 19:50,26.5,46
12/4/2026 19:50,26.56,44
12/4/2026 19:50,26.56,44
12/4/2026 19:50,26.56,45
12/4/2026 19:50,26.56,47
12/4/2026 19:50,26.56,46
12/4/2026 19:50,26.56,45
12/4/2026 19:50,26.56,44
12/4/2026 19:50,26.56,44
12/4/2026 19:50,26.56,45
12/4/2026 19:50,26.56,47
12/4/2026 19:50,26.56,47
12/4/2026 19:50,26.56,46
12/4/2026 19:50,26.56,45
12/4/2026 19:50,26.56,44
12/4/2026 19:51,26.56,44
12/4/2026 19:51,26.56,45
12/4/2026 19:51,26.56,46
12/4/2026 19:51,26.56,46
12/4/2026 19:51,26.56,45
12/4/2026 19:51,26.56,43
12/4/2026 19:51,26.62,45
12/4/2026 19:51,26.62,46
12/4/2026 19:51,26.62,46
12/4/2026 19:51,26.62,45
12/4/2026 19:51,26.62,44
12/4/2026 19:51,26.62,44
12/4/2026 19:51,26.62,45
12/4/2026 19:51,26.62,46
12/4/2026 19:51,26.62,46
12/4/2026 19:51,26.62,45
12/4/2026 19:51,26.62,43
12/4/2026 19:51,26.62,44
12/4/2026 19:51,26.62,46
12/4/2026 19:51,26.62,46
12/4/2026 19:51,26.62,45
12/4/2026 19:51,26.62,44
12/4/2026 19:51,26.62,44
12/4/2026 19:51,26.69,46
12/4/2026 19:51,26.69,45
12/4/2026 19:51,26.69,43
12/4/2026 19:51,26.69,45
12/4/2026 19:51,26.69,46
12/4/2026 19:51,26.69,43
12/4/2026 19:51,26.69,45
12/4/2026 19:52,26.69,45
12/4/2026 19:52,26.69,43
12/4/2026 19:52,26.69,45
12/4/2026 19:52,26.69,45
12/4/2026 19:52,26.69,43
12/4/2026 19:52,26.69,46
12/4/2026 19:52,26.69,45
12/4/2026 19:52,26.69,44
12/4/2026 19:52,26.69,43
12/4/2026 19:52,26.69,45
12/4/2026 19:52,26.69,46
12/4/2026 19:52,26.69,45
12/4/2026 19:52,26.69,43
12/4/2026 19:52,26.69,44
12/4/2026 19:52,26.69,46
12/4/2026 19:52,26.69,45
12/4/2026 19:52,26.69,44
12/4/2026 19:52,26.69,43
12/4/2026 19:52,26.69,44
12/4/2026 19:52,26.69,45
12/4/2026 19:52,26.75,46
12/4/2026 19:52,26.75,45
12/4/2026 19:52,26.69,44
12/4/2026 19:52,26.69,43
12/4/2026 19:52,26.69,44
12/4/2026 19:52,26.75,45
12/4/2026 19:52,26.69,45
12/4/2026 19:52,26.69,45
12/4/2026 19:52,26.69,45
12/4/2026 19:52,26.75,44
12/4/2026 19:53,26.69,44
12/4/2026 19:53,26.69,44
12/4/2026 19:53,26.69,44
12/4/2026 19:53,26.69,44
12/4/2026 19:53,26.69,44
12/4/2026 19:53,26.69,44
12/4/2026 19:53,26.69,44
12/4/2026 19:53,26.69,44
12/4/2026 19:53,26.62,44
12/4/2026 19:53,26.69,44
12/4/2026 19:53,26.69,44
12/4/2026 19:53,26.69,44
12/4/2026 19:53,26.69,44
12/4/2026 19:53,26.69,44
12/4/2026 19:53,26.69,44
12/4/2026 19:53,26.69,44
12/4/2026 19:53,26.69,44
12/4/2026 19:53,26.69,44
12/4/2026 19:53,26.69,44
12/4/2026 19:53,26.69,43
12/4/2026 19:53,26.69,42
12/4/2026 19:53,26.69,43
12/4/2026 19:53,26.62,43
12/4/2026 19:53,26.69,45
12/4/2026 19:53,26.69,44
12/4/2026 19:53,26.69,42
12/4/2026 19:53,26.69,45
12/4/2026 19:53,26.69,44
12/4/2026 19:53,26.69,42
12/4/2026 19:53,26.69,45
12/4/2026 19:54,26.69,43
12/4/2026 19:54,26.69,43
12/4/2026 19:54,26.69,44
12/4/2026 19:54,26.69,41
12/4/2026 19:54,26.69,44
12/4/2026 19:54,26.69,44
12/4/2026 19:54,26.69,42
12/4/2026 19:54,26.69,42
12/4/2026 19:54,26.62,44
12/4/2026 19:54,26.62,44
12/4/2026 19:54,26.62,43
12/4/2026 19:54,26.62,41
12/4/2026 19:54,26.62,43
12/4/2026 19:54,26.56,44
12/4/2026 19:54,26.56,43
12/4/2026 19:54,26.62,42
12/4/2026 19:54,26.62,42
12/4/2026 19:54,26.62,43
12/4/2026 19:54,26.62,44
12/4/2026 19:54,26.62,43
12/4/2026 19:54,26.62,42
12/4/2026 19:54,26.62,42
12/4/2026 19:54,26.62,44
12/4/2026 19:54,26.62,44
12/4/2026 19:54,26.62,43
12/4/2026 19:54,26.62,41
12/4/2026 19:54,26.62,42
12/4/2026 19:54,26.62,43
12/4/2026 19:54,26.56,44
12/4/2026 19:54,26.56,43
12/4/2026 19:55,26.56,42
12/4/2026 19:55,26.56,41
12/4/2026 19:55,26.62,42
12/4/2026 19:55,26.62,44
12/4/2026 19:55,26.62,43
12/4/2026 19:55,26.62,42
12/4/2026 19:55,26.62,42
12/4/2026 19:55,26.62,44
12/4/2026 19:55,26.62,43
12/4/2026 19:55,26.69,42
12/4/2026 19:55,26.62,42
12/4/2026 19:55,26.62,44
12/4/2026 19:55,26.62,43
12/4/2026 19:55,26.62,41
12/4/2026 19:55,26.62,44
12/4/2026 19:55,26.62,43
12/4/2026 19:55,26.62,42
12/4/2026 19:55,26.62,44
12/4/2026 19:55,26.62,42
12/4/2026 19:55,26.62,42
12/4/2026 19:55,26.62,43
12/4/2026 19:55,26.62,41
12/4/2026 19:55,26.62,44
12/4/2026 19:55,26.69,42
12/4/2026 19:55,26.62,42
12/4/2026 19:55,26.62,43
12/4/2026 19:55,26.62,41
12/4/2026 19:55,26.62,42
12/4/2026 19:55,26.62,43
12/4/2026 19:55,26.69,42
12/4/2026 19:56,26.62,41
12/4/2026 19:56,26.62,43
12/4/2026 19:56,26.62,44
12/4/2026 19:56,26.62,43
12/4/2026 19:56,26.62,41
12/4/2026 19:56,26.62,41
12/4/2026 19:56,26.62,43
12/4/2026 19:56,26.62,44
12/4/2026 19:56,26.62,43
12/4/2026 19:56,26.62,42
12/4/2026 19:56,26.62,41
12/4/2026 19:56,26.62,41
12/4/2026 19:56,26.62,42
12/4/2026 19:56,26.62,44
12/4/2026 19:56,26.62,44
12/4/2026 19:56,26.62,43
12/4/2026 19:56,26.62,43
12/4/2026 19:56,26.62,43
12/4/2026 19:56,26.62,43
12/4/2026 19:56,26.62,42
12/4/2026 19:56,26.62,42
12/4/2026 19:56,26.62,42
12/4/2026 19:56,26.62,42
12/4/2026 19:56,26.62,42
12/4/2026 19:56,26.62,43
12/4/2026 19:56,26.62,43
12/4/2026 19:56,26.62,42
12/4/2026 19:56,26.62,42
12/4/2026 19:56,26.62,42
12/4/2026 19:56,26.62,42
12/4/2026 19:57,26.62,41
12/4/2026 19:57,26.62,41
12/4/2026 19:57,26.62,41
12/4/2026 19:57,26.62,42
12/4/2026 19:57,26.62,44
12/4/2026 19:57,26.62,43
12/4/2026 19:57,26.62,43
12/4/2026 19:57,26.62,42
12/4/2026 19:57,26.62,41
12/4/2026 19:57,26.62,42
12/4/2026 19:57,26.62,44
12/4/2026 19:57,26.62,43
12/4/2026 19:57,26.62,43
12/4/2026 19:57,26.62,41
12/4/2026 19:57,26.62,42
12/4/2026 19:57,26.69,44
12/4/2026 19:57,26.62,43
12/4/2026 19:57,26.69,41
12/4/2026 19:57,26.69,42
12/4/2026 19:57,26.69,43
12/4/2026 19:57,26.69,42
12/4/2026 19:57,26.69,42
12/4/2026 19:57,26.69,44
12/4/2026 19:57,26.69,43
12/4/2026 19:57,26.69,41
12/4/2026 19:57,26.69,43
12/4/2026 19:57,26.69,43
12/4/2026 19:57,26.75,42
12/4/2026 19:57,26.75,41
12/4/2026 19:57,26.75,42
12/4/2026 19:58,26.75,44
12/4/2026 19:58,26.75,43
12/4/2026 19:58,26.75,43
12/4/2026 19:58,26.81,42
12/4/2026 19:58,26.81,41
12/4/2026 19:58,26.81,42
12/4/2026 19:58,26.81,44
12/4/2026 19:58,26.87,43
12/4/2026 19:58,26.87,43
12/4/2026 19:58,26.87,43
12/4/2026 19:58,26.87,42
12/4/2026 19:58,26.94,42
12/4/2026 19:58,26.94,41
12/4/2026 19:58,26.94,41
12/4/2026 19:58,26.94,42
12/4/2026 19:58,26.94,43
12/4/2026 19:58,26.94,43
12/4/2026 19:58,27,44
12/4/2026 19:58,27,44
12/4/2026 19:58,27,44
12/4/2026 19:58,27,44
12/4/2026 19:58,27,44
12/4/2026 19:58,27,44
12/4/2026 19:58,27,44
12/4/2026 19:58,27.06,44
12/4/2026 19:58,27.06,43
12/4/2026 19:58,27.06,43
12/4/2026 19:58,27.06,43
12/4/2026 19:58,27.06,43
12/4/2026 19:58,27.06,43
12/4/2026 19:59,27.06,43
12/4/2026 19:59,27.06,43
12/4/2026 19:59,27.06,43
12/4/2026 19:59,27.06,43
12/4/2026 19:59,27.06,43
12/4/2026 19:59,27.06,43
12/4/2026 19:59,27.06,43
12/4/2026 19:59,27.06,43
12/4/2026 19:59,27.06,43
12/4/2026 19:59,27.06,43
12/4/2026 19:59,27.12,43
12/4/2026 19:59,27.12,43
12/4/2026 19:59,27.12,42
12/4/2026 19:59,27.12,42
12/4/2026 19:59,27.12,42
12/4/2026 19:59,27.12,41
12/4/2026 19:59,27.12,41
12/4/2026 19:59,27.12,41
12/4/2026 19:59,27.12,41
12/4/2026 19:59,27.12,41
12/4/2026 19:59,27.12,42
12/4/2026 19:59,27.12,42
12/4/2026 19:59,27.12,43
12/4/2026 19:59,27.12,43
12/4/2026 19:59,27.12,44
12/4/2026 19:59,27.12,44
12/4/2026 19:59,27.12,43
12/4/2026 19:59,27.12,42
12/4/2026 19:59,27.12,41
12/4/2026 19:59,27.12,42
12/4/2026 20:00,27.12,43
12/4/2026 20:00,27.12,44
12/4/2026 20:00,27.12,42
12/4/2026 20:00,27.12,41
12/4/2026 20:00,27.12,42
12/4/2026 20:00,27.12,43
12/4/2026 20:00,27.12,43
12/4/2026 20:00,27.12,44
12/4/2026 20:00,27.12,42
12/4/2026 20:00,27.12,41
12/4/2026 20:00,27.12,43
12/4/2026 20:00,27.19,44
12/4/2026 20:00,27.19,44
12/4/2026 20:00,27.19,42
12/4/2026 20:00,27.19,41
12/4/2026 20:00,27.19,41
12/4/2026 20:00,27.19,42
12/4/2026 20:00,27.19,43
12/4/2026 20:00,27.19,43
12/4/2026 20:00,27.19,44
12/4/2026 20:00,27.19,44
12/4/2026 20:00,27.19,43
12/4/2026 20:00,27.19,42
12/4/2026 20:00,27.19,42
12/4/2026 20:00,27.19,41
12/4/2026 20:00,27.12,42
12/4/2026 20:00,27.19,42
12/4/2026 20:00,27.19,43
12/4/2026 20:00,27.19,43
12/4/2026 20:00,27.19,43
12/4/2026 20:01,27.19,43
12/4/2026 20:01,27.19,44
12/4/2026 20:01,27.12,44
12/4/2026 20:01,27.19,43
12/4/2026 20:01,27.19,43
12/4/2026 20:01,27.19,43
12/4/2026 20:01,27.19,41
12/4/2026 20:01,27.19,42
12/4/2026 20:01,27.19,43
12/4/2026 20:01,27.19,45
12/4/2026 20:01,27.19,44
12/4/2026 20:01,27.19,42
12/4/2026 20:01,27.19,42
12/4/2026 20:01,27.19,44
12/4/2026 20:01,27.19,43
12/4/2026 20:01,27.19,42
12/4/2026 20:01,27.19,43
12/4/2026 20:01,27.19,43
12/4/2026 20:01,27.19,43
12/4/2026 20:01,27.19,42
12/4/2026 20:01,27.19,43
12/4/2026 20:01,27.19,44
12/4/2026 20:01,27.19,43
12/4/2026 20:01,27.19,42
12/4/2026 20:01,27.19,43
12/4/2026 20:01,27.19,44
12/4/2026 20:01,27.19,43
12/4/2026 20:01,27.19,42
12/4/2026 20:01,27.19,42
12/4/2026 20:01,27.19,43
12/4/2026 20:02,27.19,44
12/4/2026 20:02,27.19,44
12/4/2026 20:02,27.19,43
12/4/2026 20:02,27.19,42
12/4/2026 20:02,27.19,42
12/4/2026 20:02,27.19,43
12/4/2026 20:02,27.19,43
12/4/2026 20:02,27.19,44
12/4/2026 20:02,27.19,44
12/4/2026 20:02,27.19,43
12/4/2026 20:02,27.19,43
12/4/2026 20:02,27.19,43
12/4/2026 20:02,27.19,43
12/4/2026 20:02,27.19,43
12/4/2026 20:02,27.19,43
12/4/2026 20:02,27.19,43
12/4/2026 20:02,27.19,43
12/4/2026 20:02,27.19,43
12/4/2026 20:02,27.19,43
12/4/2026 20:02,27.19,43
12/4/2026 20:02,27.19,44
12/4/2026 20:02,27.19,44
12/4/2026 20:02,27.19,44
12/4/2026 20:02,27.19,44
12/4/2026 20:02,27.19,44
12/4/2026 20:02,27.19,43
12/4/2026 20:02,27.19,43
12/4/2026 20:02,27.19,43
12/4/2026 20:02,27.19,42
12/4/2026 20:02,27.19,42
12/4/2026 20:03,27.19,42
12/4/2026 20:03,27.19,42
12/4/2026 20:03,27.19,42
12/4/2026 20:03,27.19,42
12/4/2026 20:03,27.19,42
12/4/2026 20:03,27.19,42
12/4/2026 20:03,27.19,42
12/4/2026 20:03,27.19,42
12/4/2026 20:03,27.19,43
12/4/2026 20:03,27.19,43
12/4/2026 20:03,27.19,43
12/4/2026 20:03,27.19,43
12/4/2026 20:03,27.19,44
12/4/2026 20:03,27.19,44
12/4/2026 20:03,27.19,44
12/4/2026 20:03,27.19,44
12/4/2026 20:03,27.19,44
12/4/2026 20:03,27.19,44
12/4/2026 20:03,27.19,44
12/4/2026 20:03,27.19,45
12/4/2026 20:03,27.19,45
12/4/2026 20:03,27.19,45
12/4/2026 20:03,27.19,44
12/4/2026 20:03,27.19,44
12/4/2026 20:03,27.19,44
12/4/2026 20:03,27.19,44
12/4/2026 20:03,27.19,43
12/4/2026 20:03,27.19,43
12/4/2026 20:03,27.19,43
12/4/2026 20:03,27.19,42
12/4/2026 20:04,27.19,42
12/4/2026 20:04,27.19,43
12/4/2026 20:04,27.19,44
12/4/2026 20:04,27.19,44
12/4/2026 20:04,27.19,44
12/4/2026 20:04,27.12,45
12/4/2026 20:04,27.12,45
12/4/2026 20:04,27.12,44
12/4/2026 20:04,27.12,43
12/4/2026 20:04,27.12,42
12/4/2026 20:04,27.12,43
12/4/2026 20:04,27.12,44
12/4/2026 20:04,27.12,45
12/4/2026 20:04,27.12,45
12/4/2026 20:04,27.12,44
12/4/2026 20:04,27.12,43
12/4/2026 20:04,27.12,42
12/4/2026 20:04,27.19,43
12/4/2026 20:04,27.12,44
12/4/2026 20:04,27.19,44
12/4/2026 20:04,27.12,45
12/4/2026 20:04,27.19,45
12/4/2026 20:04,27.19,45
12/4/2026 20:04,27.12,45
12/4/2026 20:04,27.12,46
12/4/2026 20:04,27.12,45
12/4/2026 20:04,27.19,44
12/4/2026 20:04,27.19,44
12/4/2026 20:04,27.19,44
12/4/2026 20:04,27.19,44
12/4/2026 20:05,27.19,43
12/4/2026 20:05,27.12,42
12/4/2026 20:05,27.19,43
12/4/2026 20:05,27.12,43
12/4/2026 20:05,27.19,45
12/4/2026 20:05,27.19,45
12/4/2026 20:05,27.19,44
12/4/2026 20:05,27.19,44
12/4/2026 20:05,27.19,42
12/4/2026 20:05,27.19,43
12/4/2026 20:05,27.19,43
12/4/2026 20:05,27.19,44
12/4/2026 20:05,27.12,45
12/4/2026 20:05,27.19,45
12/4/2026 20:05,27.12,45
12/4/2026 20:05,27.12,45
12/4/2026 20:05,27.19,45
12/4/2026 20:05,27.19,45
12/4/2026 20:05,27.19,45
12/4/2026 20:05,27.19,45
12/4/2026 20:05,27.12,44
12/4/2026 20:05,27.12,43
12/4/2026 20:05,27.19,42
12/4/2026 20:05,27.19,44
12/4/2026 20:05,27.12,45
12/4/2026 20:05,27.12,44
12/4/2026 20:05,27.19,42
12/4/2026 20:05,27.12,44
12/4/2026 20:05,27.12,46
12/4/2026 20:05,27.12,44
12/4/2026 20:06,27.12,43
12/4/2026 20:06,27.19,43
12/4/2026 20:06,27.19,44
12/4/2026 20:06,27.19,45
12/4/2026 20:06,27.12,45
12/4/2026 20:06,27.19,45
12/4/2026 20:06,27.19,45
12/4/2026 20:06,27.19,44
12/4/2026 20:06,27.12,44
12/4/2026 20:06,27.19,43
12/4/2026 20:06,27.19,43
12/4/2026 20:06,27.19,42
12/4/2026 20:06,27.19,43
12/4/2026 20:06,27.19,43
12/4/2026 20:06,27.19,43
12/4/2026 20:06,27.19,43
12/4/2026 20:06,27.19,43
12/4/2026 20:06,27.19,43
12/4/2026 20:06,27.19,43
12/4/2026 20:06,27.12,43
12/4/2026 20:06,27.19,43
12/4/2026 20:06,27.19,44
12/4/2026 20:06,27.19,44
12/4/2026 20:06,27.19,45
12/4/2026 20:06,27.19,45
12/4/2026 20:06,27.19,44
12/4/2026 20:06,27.19,44
12/4/2026 20:06,27.19,43
12/4/2026 20:06,27.19,43
12/4/2026 20:06,27.19,43
12/4/2026 20:07,27.19,45
12/4/2026 20:07,27.19,45
12/4/2026 20:07,27.19,45
12/4/2026 20:07,27.19,44
12/4/2026 20:07,27.19,43
12/4/2026 20:07,27.19,44
12/4/2026 20:07,27.19,45
12/4/2026 20:07,27.19,46
12/4/2026 20:07,27.19,45
12/4/2026 20:07,27.19,44
12/4/2026 20:07,27.19,44
12/4/2026 20:07,27.19,43
12/4/2026 20:07,27.12,43
12/4/2026 20:07,27.19,42
12/4/2026 20:07,27.12,42
12/4/2026 20:07,27.19,43
12/4/2026 20:07,27.19,44
12/4/2026 20:07,27.19,45
12/4/2026 20:07,27.19,46
12/4/2026 20:07,27.19,43
12/4/2026 20:07,27.19,43
12/4/2026 20:07,27.19,45
12/4/2026 20:07,27.19,45
12/4/2026 20:07,27.12,43
12/4/2026 20:07,27.12,43
12/4/2026 20:07,27.19,44
12/4/2026 20:07,27.12,45
12/4/2026 20:07,27.12,45
12/4/2026 20:07,27.12,44
12/4/2026 20:07,27.12,43
12/4/2026 20:08,27.12,43
12/4/2026 20:08,27.12,42
12/4/2026 20:08,27.19,42
12/4/2026 20:08,27.19,43
12/4/2026 20:08,27.12,42
12/4/2026 20:08,27.12,42
12/4/2026 20:08,27.19,42
12/4/2026 20:08,27.19,42
12/4/2026 20:08,27.19,42
12/4/2026 20:08,27.19,43
12/4/2026 20:08,27.19,43
12/4/2026 20:08,27.19,43
12/4/2026 20:08,27.19,45
12/4/2026 20:08,27.12,46
12/4/2026 20:08,27.19,45
12/4/2026 20:08,27.19,44
12/4/2026 20:08,27.12,43
12/4/2026 20:08,27.19,43
12/4/2026 20:08,27.12,44
12/4/2026 20:08,27.12,46
12/4/2026 20:08,27.19,45
12/4/2026 20:08,27.19,44
12/4/2026 20:08,27.12,44
12/4/2026 20:08,27.19,43
12/4/2026 20:08,27.12,43
12/4/2026 20:08,27.19,42
12/4/2026 20:08,27.19,42
12/4/2026 20:08,27.19,42
12/4/2026 20:08,27.19,42
12/4/2026 20:08,27.19,42
12/4/2026 20:09,27.19,43
12/4/2026 20:09,27.19,43
12/4/2026 20:09,27.19,44
12/4/2026 20:09,27.19,44
12/4/2026 20:09,27.19,45
12/4/2026 20:09,27.19,45
12/4/2026 20:09,27.19,45
12/4/2026 20:09,27.19,45
12/4/2026 20:09,27.19,43
12/4/2026 20:09,27.19,43
12/4/2026 20:09,27.19,43
12/4/2026 20:09,27.12,44
12/4/2026 20:09,27.12,45
12/4/2026 20:09,27.19,44
12/4/2026 20:09,27.19,43
12/4/2026 20:09,27.19,43
12/4/2026 20:09,27.19,43
12/4/2026 20:09,27.12,44
12/4/2026 20:09,27.19,45
12/4/2026 20:09,27.19,45
12/4/2026 20:09,27.19,45
12/4/2026 20:09,27.19,46
12/4/2026 20:09,27.19,45
12/4/2026 20:09,27.12,45
12/4/2026 20:09,27.19,44
12/4/2026 20:09,27.12,44
12/4/2026 20:09,27.12,44
12/4/2026 20:09,27.12,43
12/4/2026 20:09,27.12,43
12/4/2026 20:09,27.12,43
12/4/2026 20:10,27.12,43
12/4/2026 20:10,27.12,43
12/4/2026 20:10,27.12,43
12/4/2026 20:10,27.12,43
12/4/2026 20:10,27.12,43
12/4/2026 20:10,27.12,44
12/4/2026 20:10,27.12,44
12/4/2026 20:10,27.12,45
12/4/2026 20:10,27.12,46
12/4/2026 20:10,27.12,45
12/4/2026 20:10,27.12,45
12/4/2026 20:10,27.12,44
12/4/2026 20:10,27.12,43
12/4/2026 20:10,27.12,44
12/4/2026 20:10,27.12,46
12/4/2026 20:10,27.12,45
12/4/2026 20:10,27.12,44
12/4/2026 20:10,27.12,43
12/4/2026 20:10,27.12,44
12/4/2026 20:10,27.12,46
12/4/2026 20:10,27.12,45
12/4/2026 20:10,27.12,43
12/4/2026 20:10,27.12,44
12/4/2026 20:10,27.12,45
12/4/2026 20:10,27.12,45
12/4/2026 20:10,27.12,44
12/4/2026 20:10,27.12,43
12/4/2026 20:10,27.12,44
12/4/2026 20:10,27.12,46
12/4/2026 20:10,27.12,45
12/4/2026 20:11,27.12,44
12/4/2026 20:11,27.12,43
12/4/2026 20:11,27.12,44
12/4/2026 20:11,27.12,45
12/4/2026 20:11,27.12,46
12/4/2026 20:11,27.12,45
12/4/2026 20:11,27.12,45
12/4/2026 20:11,27.12,44
12/4/2026 20:11,27.12,43
12/4/2026 20:11,27.12,43
12/4/2026 20:11,27.12,43
12/4/2026 20:11,27.12,44
12/4/2026 20:11,27.12,44
12/4/2026 20:11,27.12,44
12/4/2026 20:11,27.12,44
12/4/2026 20:11,27.12,44
12/4/2026 20:11,27.12,44
12/4/2026 20:11,27.12,44
12/4/2026 20:11,27.12,43
12/4/2026 20:11,27.12,43
12/4/2026 20:11,27.12,44
12/4/2026 20:11,27.12,45
12/4/2026 20:11,27.06,46
12/4/2026 20:11,27.06,45
12/4/2026 20:11,27.06,44
12/4/2026 20:11,27.06,43
12/4/2026 20:11,27.06,44
12/4/2026 20:11,27.06,45
12/4/2026 20:11,27.06,46
12/4/2026 20:11,27.06,44
12/4/2026 20:12,27.06,43
12/4/2026 20:12,27.06,44
12/4/2026 20:12,27.06,45
12/4/2026 20:12,27.06,46
12/4/2026 20:12,27.06,45
12/4/2026 20:12,27.06,44
12/4/2026 20:12,27.06,43
12/4/2026 20:12,27.06,45
12/4/2026 20:12,27.06,46
12/4/2026 20:12,27.06,45
12/4/2026 20:12,27.06,44
12/4/2026 20:12,27.06,43
12/4/2026 20:12,27.06,44
12/4/2026 20:12,27.06,45
12/4/2026 20:12,27.06,46
12/4/2026 20:12,27.06,46
12/4/2026 20:12,27.06,45
12/4/2026 20:12,27.06,44
12/4/2026 20:12,27.06,44
12/4/2026 20:12,27.06,43
12/4/2026 20:12,27.06,43
12/4/2026 20:12,27.06,43
12/4/2026 20:12,27.06,44
12/4/2026 20:12,27.06,45
12/4/2026 20:12,27.06,45
12/4/2026 20:12,27,45
12/4/2026 20:12,27.06,45
12/4/2026 20:12,27.06,45
12/4/2026 20:12,27.06,46
12/4/2026 20:12,27.06,46
12/4/2026 20:13,27.06,46
12/4/2026 20:13,27.06,45
12/4/2026 20:13,27,44
12/4/2026 20:13,27.06,44
12/4/2026 20:13,27.06,45
12/4/2026 20:13,27,45
12/4/2026 20:13,27,45
12/4/2026 20:13,27,45
12/4/2026 20:13,27,45
12/4/2026 20:13,27,46
12/4/2026 20:13,27,46
12/4/2026 20:13,27,46
12/4/2026 20:13,27,46
12/4/2026 20:13,27,45
12/4/2026 20:13,27,45
12/4/2026 20:13,27,44
12/4/2026 20:13,27,44
12/4/2026 20:13,27,43
12/4/2026 20:13,27,43
12/4/2026 20:13,27,44
12/4/2026 20:13,27,44
12/4/2026 20:13,27,45
12/4/2026 20:13,27,46
12/4/2026 20:13,27,45
12/4/2026 20:13,27,45
12/4/2026 20:13,27,44
12/4/2026 20:13,27,43
12/4/2026 20:13,27,44
